Start,Slut,NO2 (115),NOX as NO2 (114),PM10 (116),PM2.5 (111)
06-01-2016 08:00,06-01-2016 09:00,41.5,91.7,7.6,5
06-01-2016 09:00,06-01-2016 10:00,44,113.3,8.4,5.5
06-01-2016 10:00,06-01-2016 11:00,55.9,167.7,10.5,6.1
06-01-2016 11:00,06-01-2016 12:00,50.6,157.3,9.6,5.9
06-01-2016 12:00,06-01-2016 13:00,35,92.8,8.9,5.9
06-01-2016 13:00,06-01-2016 14:00,41.9,120.1,11.3,6.4
06-01-2016 14:00,06-01-2016 15:00,42,106,11.9,6.2
06-01-2016 15:00,06-01-2016 16:00,48,122.9,11.3,7
06-01-2016 16:00,06-01-2016 17:00,49.5,116.7,15,9.8
06-01-2016 17:00,06-01-2016 18:00,58.2,180.7,16.5,11.1
06-01-2016 18:00,06-01-2016 19:00,47.6,109.5,16.5,12.2
06-01-2016 19:00,06-01-2016 20:00,53.1,145.3,15.7,12.6
06-01-2016 20:00,06-01-2016 21:00,48.9,129.4,16.7,13.9
06-01-2016 21:00,06-01-2016 22:00,39.7,83.2,14.9,11.8
06-01-2016 22:00,06-01-2016 23:00,37.7,73,14.1,9.8
06-01-2016 23:00,07-01-2016 00:00,31.8,80.6,12.1,8.5
07-01-2016 00:00,07-01-2016 01:00,31.6,64.9,10.8,8.1
07-01-2016 01:00,07-01-2016 02:00,31.3,59.6,10.8,6.9
07-01-2016 02:00,07-01-2016 03:00,27.6,50.6,9.4,6.4
07-01-2016 03:00,07-01-2016 04:00,22.1,26.6,8.9,7.3
07-01-2016 04:00,07-01-2016 05:00,20.5,42.1,8.1,5.9
07-01-2016 05:00,07-01-2016 06:00,21.5,30.9,9.4,5.9
07-01-2016 06:00,07-01-2016 07:00,64.2,252.5,12.8,6.3
07-01-2016 07:00,07-01-2016 08:00,79.2,368.2,15.4,7.1
07-01-2016 08:00,07-01-2016 09:00,83.5,404.7,16.1,7.2
07-01-2016 09:00,07-01-2016 10:00,77,329.8,15.6,7.3
07-01-2016 10:00,07-01-2016 11:00,75.2,374.4,15.1,7.8
07-01-2016 11:00,07-01-2016 12:00,65.5,300,13.9,7.9
07-01-2016 12:00,07-01-2016 13:00,79.9,309.7,13,8.2
07-01-2016 13:00,07-01-2016 14:00,67.3,229.2,14.6,8
07-01-2016 14:00,07-01-2016 15:00,77.1,287.8,15.2,9.1
07-01-2016 15:00,07-01-2016 16:00,68.2,223.7,16,9.3
07-01-2016 16:00,07-01-2016 17:00,66.7,212.9,15.9,9.8
07-01-2016 17:00,07-01-2016 18:00,62.2,203.4,14.6,9.3
07-01-2016 18:00,07-01-2016 19:00,58.3,148.1,12.3,11
07-01-2016 19:00,07-01-2016 20:00,54,116.8,12.4,10.4
07-01-2016 20:00,07-01-2016 21:00,41,72.8,10.9,10.4
07-01-2016 21:00,07-01-2016 22:00,25.7,36.3,8,8.2
07-01-2016 22:00,07-01-2016 23:00,20.1,23.4,6.2,6
07-01-2016 23:00,08-01-2016 00:00,13.8,15.3,5.4,5.2
08-01-2016 00:00,08-01-2016 01:00,9.9,11.1,4.6,4.6
08-01-2016 01:00,08-01-2016 02:00,12.5,15.2,7.7,4.9
08-01-2016 02:00,08-01-2016 03:00,12.3,13.9,6.5,5
08-01-2016 03:00,08-01-2016 04:00,10.3,12.6,7.6,4.5
08-01-2016 04:00,08-01-2016 05:00,8,9.7,6.6,4.4
08-01-2016 05:00,08-01-2016 06:00,10.1,12,10.6,4.1
08-01-2016 06:00,08-01-2016 07:00,16.9,21.3,7,3.9
08-01-2016 07:00,08-01-2016 08:00,29.1,56,10.4,5.2
08-01-2016 08:00,08-01-2016 09:00,37.6,74.9,9.5,5.9
08-01-2016 09:00,08-01-2016 10:00,46.6,87,11.4,6.8
08-01-2016 10:00,08-01-2016 11:00,29.9,58.5,8.7,5.6
08-01-2016 11:00,08-01-2016 12:00,32.2,62.4,8.8,5.4
08-01-2016 12:00,08-01-2016 13:00,45.5,118.2,11.8,5.3
08-01-2016 13:00,08-01-2016 14:00,46.6,138.1,10.7,5.9
08-01-2016 14:00,08-01-2016 15:00,41.5,97.9,9,5.4
08-01-2016 15:00,08-01-2016 16:00,37.6,60.9,9.6,6.1
08-01-2016 16:00,08-01-2016 17:00,29.6,45.2,10.7,5.6
08-01-2016 17:00,08-01-2016 18:00,46.2,82.6,11.1,6.6
08-01-2016 18:00,08-01-2016 19:00,49.2,96.8,13.2,8.3
08-01-2016 19:00,08-01-2016 20:00,44.3,73.5,13.3,9.1
08-01-2016 20:00,08-01-2016 21:00,32.9,61.2,13.3,9.6
08-01-2016 21:00,08-01-2016 22:00,37.8,112.6,13.6,10.4
08-01-2016 22:00,08-01-2016 23:00,31.5,68.8,11.8,9.4
08-01-2016 23:00,09-01-2016 00:00,32.2,98.9,11.3,9.6
09-01-2016 00:00,09-01-2016 01:00,27.4,70.1,11.1,7.5
09-01-2016 01:00,09-01-2016 02:00,29.5,74.5,11.4,6.4
09-01-2016 02:00,09-01-2016 03:00,24.3,64.7,9.8,5.9
09-01-2016 03:00,09-01-2016 04:00,18.8,37.5,6.5,5.8
09-01-2016 04:00,09-01-2016 05:00,12.8,22.7,7.6,5.4
09-01-2016 05:00,09-01-2016 06:00,17.1,25.4,7.6,5.6
09-01-2016 06:00,09-01-2016 07:00,17.6,27.6,10.5,6.7
09-01-2016 07:00,09-01-2016 08:00,20.6,53,8.3,5.2
09-01-2016 08:00,09-01-2016 09:00,30,77.1,9.3,5.2
09-01-2016 09:00,09-01-2016 10:00,29,75.6,10.2,6.1
09-01-2016 10:00,09-01-2016 11:00,31.8,85.7,10.9,6.9
09-01-2016 11:00,09-01-2016 12:00,53.7,164.7,12.7,7.2
09-01-2016 12:00,09-01-2016 13:00,53,137,12.4,7
09-01-2016 13:00,09-01-2016 14:00,54.4,164.7,13.9,7.3
09-01-2016 14:00,09-01-2016 15:00,61,167.1,13.5,8.2
09-01-2016 15:00,09-01-2016 16:00,70.8,307.9,16.5,8.5
09-01-2016 16:00,09-01-2016 17:00,50.1,129.7,14.2,8.2
09-01-2016 17:00,09-01-2016 18:00,48.7,112.9,14.4,9.4
09-01-2016 18:00,09-01-2016 19:00,54.5,141.3,17.1,11.9
09-01-2016 19:00,09-01-2016 20:00,40,86.4,20.4,15.4
09-01-2016 20:00,09-01-2016 21:00,36.5,74.3,17.7,13.8
09-01-2016 21:00,09-01-2016 22:00,35.7,93.7,13.4,11.6
09-01-2016 22:00,09-01-2016 23:00,35.2,96.7,14,12.2
09-01-2016 23:00,10-01-2016 00:00,40.5,97.7,11.9,9.8
10-01-2016 00:00,10-01-2016 01:00,29.3,62.6,9.2,8.4
10-01-2016 01:00,10-01-2016 02:00,27.5,58.1,9.8,6.9
10-01-2016 02:00,10-01-2016 03:00,35.5,73.1,6,5.1
10-01-2016 03:00,10-01-2016 04:00,14.3,23.5,6.5,4.7
10-01-2016 04:00,10-01-2016 05:00,10,15.8,6.9,5.4
10-01-2016 05:00,10-01-2016 06:00,8.2,12.8,8.2,5.7
10-01-2016 06:00,10-01-2016 07:00,9.8,11.8,6.1,5.8
10-01-2016 07:00,10-01-2016 08:00,14.6,41.2,8.1,6.2
10-01-2016 08:00,10-01-2016 09:00,15.1,25.9,7.6,6.3
10-01-2016 09:00,10-01-2016 10:00,16.5,26.9,7.3,6.8
10-01-2016 10:00,10-01-2016 11:00,15.4,39.5,8.3,6.9
10-01-2016 11:00,10-01-2016 12:00,16.3,25.4,8.8,8.1
10-01-2016 12:00,10-01-2016 13:00,17.6,25,11.2,9.3
10-01-2016 13:00,10-01-2016 14:00,25.1,49.1,13,10.6
10-01-2016 14:00,10-01-2016 15:00,16.4,23.1,10.2,7.8
10-01-2016 15:00,10-01-2016 16:00,,,9.6,7.5
10-01-2016 16:00,10-01-2016 17:00,12.8,17.2,10.5,8.2
10-01-2016 17:00,10-01-2016 18:00,12.4,16.3,13.5,9.1
10-01-2016 18:00,10-01-2016 19:00,9,11.1,14.6,10.1
10-01-2016 19:00,10-01-2016 20:00,9.5,11.7,15.5,11.1
10-01-2016 20:00,10-01-2016 21:00,8.9,12.2,14.9,11
10-01-2016 21:00,10-01-2016 22:00,7.7,8.9,13.3,10
10-01-2016 22:00,10-01-2016 23:00,5.4,6.4,11,8.5
10-01-2016 23:00,11-01-2016 00:00,5.4,6.7,10.8,8.8
11-01-2016 00:00,11-01-2016 01:00,5.9,6.8,11.4,9.3
11-01-2016 01:00,11-01-2016 02:00,5,5.2,14.1,10.7
11-01-2016 02:00,11-01-2016 03:00,7.4,7.9,18.2,13
11-01-2016 03:00,11-01-2016 04:00,8.4,9.5,17.6,13.2
11-01-2016 04:00,11-01-2016 05:00,8.3,10.4,13,10.9
11-01-2016 05:00,11-01-2016 06:00,10.6,15.5,6.6,6
11-01-2016 06:00,11-01-2016 07:00,17,25.9,3,3
11-01-2016 07:00,11-01-2016 08:00,22.5,45.9,4.4,2.3
11-01-2016 08:00,11-01-2016 09:00,41.3,99.8,6.2,3
11-01-2016 09:00,11-01-2016 10:00,28.6,43.4,7.1,4.4
11-01-2016 10:00,11-01-2016 11:00,34,62.8,5.7,3.5
11-01-2016 11:00,11-01-2016 12:00,32.5,69.8,6.2,3.3
11-01-2016 12:00,11-01-2016 13:00,38.4,107.9,7.4,3.3
11-01-2016 13:00,11-01-2016 14:00,39.2,76,10.2,7.5
11-01-2016 14:00,11-01-2016 15:00,30.4,43.2,20.1,18.4
11-01-2016 15:00,11-01-2016 16:00,31.7,41,16.2,16.6
11-01-2016 16:00,11-01-2016 17:00,30.4,39,10.3,11.8
11-01-2016 17:00,11-01-2016 18:00,23.3,31.5,3,5.5
11-01-2016 18:00,11-01-2016 19:00,20.7,29.4,8.2,9
11-01-2016 19:00,11-01-2016 20:00,15.7,18.4,12.2,13.6
11-01-2016 20:00,11-01-2016 21:00,18.4,21.6,11.3,12.9
11-01-2016 21:00,11-01-2016 22:00,15.6,21.9,12,13
11-01-2016 22:00,11-01-2016 23:00,17.7,37.1,9.2,10.6
11-01-2016 23:00,12-01-2016 00:00,25,64.5,6.5,6.3
12-01-2016 00:00,12-01-2016 01:00,16.7,34.5,3.8,3.3
12-01-2016 01:00,12-01-2016 02:00,16.7,36,6.8,3.4
12-01-2016 02:00,12-01-2016 03:00,10.6,18.2,6.9,3.9
12-01-2016 03:00,12-01-2016 04:00,9,12,6.5,3.2
12-01-2016 04:00,12-01-2016 05:00,8.1,11.7,5.8,2.3
12-01-2016 05:00,12-01-2016 06:00,20.4,59.2,6.5,2.6
12-01-2016 06:00,12-01-2016 07:00,61.1,190.3,8.5,3
12-01-2016 07:00,12-01-2016 08:00,58,211.8,10.4,2.7
12-01-2016 08:00,12-01-2016 09:00,63.2,227.8,17.4,3.6
12-01-2016 09:00,12-01-2016 10:00,70.8,217.7,11.4,3.5
12-01-2016 10:00,12-01-2016 11:00,42.4,125.4,11.8,4.6
12-01-2016 11:00,12-01-2016 12:00,51.1,191,10.5,5
12-01-2016 12:00,12-01-2016 13:00,44.7,146.4,10.6,4.9
12-01-2016 13:00,12-01-2016 14:00,48,164.4,12.1,4.9
12-01-2016 14:00,12-01-2016 15:00,41.2,151.3,9.3,3.8
12-01-2016 15:00,12-01-2016 16:00,40.7,127.6,11.7,4.2
12-01-2016 16:00,12-01-2016 17:00,54.1,163.7,10.2,4
12-01-2016 17:00,12-01-2016 18:00,60.1,177.9,11.5,4.3
12-01-2016 18:00,12-01-2016 19:00,45,120.9,11.6,4.7
12-01-2016 19:00,12-01-2016 20:00,33.8,85.2,10.2,5
12-01-2016 20:00,12-01-2016 21:00,36.4,87.5,8.8,5.1
12-01-2016 21:00,12-01-2016 22:00,22.1,49,8.5,4.8
12-01-2016 22:00,12-01-2016 23:00,24.8,59.6,7.8,4.6
12-01-2016 23:00,13-01-2016 00:00,17.7,36.9,10,3.8
13-01-2016 00:00,13-01-2016 01:00,14,28.7,5.2,3.5
13-01-2016 01:00,13-01-2016 02:00,10.8,19.4,4.9,3.1
13-01-2016 02:00,13-01-2016 03:00,5.6,12.1,4.3,2.8
13-01-2016 03:00,13-01-2016 04:00,11.7,28,3.6,2.4
13-01-2016 04:00,13-01-2016 05:00,8.7,13.8,3.8,2
13-01-2016 05:00,13-01-2016 06:00,10.6,20.8,4.9,2.1
13-01-2016 06:00,13-01-2016 07:00,48.9,119.1,6.8,2.4
13-01-2016 07:00,13-01-2016 08:00,50.7,121.5,7.6,3
13-01-2016 08:00,13-01-2016 09:00,65.1,185.3,9.9,3.8
13-01-2016 09:00,13-01-2016 10:00,51.1,145.8,9.2,3.9
13-01-2016 10:00,13-01-2016 11:00,43.8,117.5,6.9,3.4
13-01-2016 11:00,13-01-2016 12:00,54,149.2,8,3.8
13-01-2016 12:00,13-01-2016 13:00,52.2,142.7,8.3,4.1
13-01-2016 13:00,13-01-2016 14:00,45,111.7,15.7,3.3
13-01-2016 14:00,13-01-2016 15:00,52.3,217.8,10.2,3.9
13-01-2016 15:00,13-01-2016 16:00,50.6,135.4,9.6,4.2
13-01-2016 16:00,13-01-2016 17:00,48.5,134.7,10.4,4.3
13-01-2016 17:00,13-01-2016 18:00,37.6,95.7,9.3,4.8
13-01-2016 18:00,13-01-2016 19:00,22.9,50,6.9,3.8
13-01-2016 19:00,13-01-2016 20:00,22.4,58.6,7,3.6
13-01-2016 20:00,13-01-2016 21:00,16.6,43.1,5.9,3.5
13-01-2016 21:00,13-01-2016 22:00,21.6,77.8,7.9,3.1
13-01-2016 22:00,13-01-2016 23:00,13.8,30.2,5.2,3.1
13-01-2016 23:00,14-01-2016 00:00,15.7,36.1,5.6,2.9
14-01-2016 00:00,14-01-2016 01:00,10.3,22.3,4.4,2.8
14-01-2016 01:00,14-01-2016 02:00,9,15.6,5,2.9
14-01-2016 02:00,14-01-2016 03:00,9.3,17,6.2,2.9
14-01-2016 03:00,14-01-2016 04:00,11.2,15.2,6,3.1
14-01-2016 04:00,14-01-2016 05:00,12.3,30.9,6.8,2.9
14-01-2016 05:00,14-01-2016 06:00,14.1,28.8,7.9,3
14-01-2016 06:00,14-01-2016 07:00,44.7,134,8.9,3.4
14-01-2016 07:00,14-01-2016 08:00,68.5,213,10.7,3.8
14-01-2016 08:00,14-01-2016 09:00,80.4,194.8,12,4.8
14-01-2016 09:00,14-01-2016 10:00,73.1,249,13,4.9
14-01-2016 10:00,14-01-2016 11:00,71.1,204.3,10.8,5.3
14-01-2016 11:00,14-01-2016 12:00,81.1,267.7,15.3,5.6
14-01-2016 12:00,14-01-2016 13:00,83.9,300.1,14.7,5.1
14-01-2016 13:00,14-01-2016 14:00,75.3,226.8,13.5,5.1
14-01-2016 14:00,14-01-2016 15:00,64.8,206.5,16.1,5.4
14-01-2016 15:00,14-01-2016 16:00,70,227.5,14.5,5.4
14-01-2016 16:00,14-01-2016 17:00,82.5,241.8,13.6,5.8
14-01-2016 17:00,14-01-2016 18:00,79.8,225.7,14.3,5.9
14-01-2016 18:00,14-01-2016 19:00,81.8,191.7,16.9,7.8
14-01-2016 19:00,14-01-2016 20:00,68.6,138.8,14.9,8.3
14-01-2016 20:00,14-01-2016 21:00,55.4,103.5,12.2,7.8
14-01-2016 21:00,14-01-2016 22:00,48.3,99.2,12.7,7.5
14-01-2016 22:00,14-01-2016 23:00,61.2,158.6,11.5,7.7
14-01-2016 23:00,15-01-2016 00:00,49.7,123.3,9.4,6.5
15-01-2016 00:00,15-01-2016 01:00,36.9,76.3,9,5.8
15-01-2016 01:00,15-01-2016 02:00,28.5,60.6,5.4,5.3
15-01-2016 02:00,15-01-2016 03:00,27.6,51.8,9.6,5.1
15-01-2016 03:00,15-01-2016 04:00,25.1,48,7.6,4.8
15-01-2016 04:00,15-01-2016 05:00,23.6,32.5,10.7,5.3
15-01-2016 05:00,15-01-2016 06:00,28.3,46.7,13.7,8.5
15-01-2016 06:00,15-01-2016 07:00,63.7,182.4,10.3,5.7
15-01-2016 07:00,15-01-2016 08:00,90.8,316.6,14.5,6.6
15-01-2016 08:00,15-01-2016 09:00,108,420,17,7.3
15-01-2016 09:00,15-01-2016 10:00,85.2,372.6,16.3,6.6
15-01-2016 10:00,15-01-2016 11:00,104.5,456.3,18.8,7.4
15-01-2016 11:00,15-01-2016 12:00,98.2,346.7,15,6.5
15-01-2016 12:00,15-01-2016 13:00,84.9,328.7,15.7,6.7
15-01-2016 13:00,15-01-2016 14:00,79.6,347.2,11.8,6.6
15-01-2016 14:00,15-01-2016 15:00,91.8,282.4,12.4,6.7
15-01-2016 15:00,15-01-2016 16:00,82.7,281,16.1,6.5
15-01-2016 16:00,15-01-2016 17:00,93.3,305.2,15.8,7.5
15-01-2016 17:00,15-01-2016 18:00,76.3,197,12.8,7.9
15-01-2016 18:00,15-01-2016 19:00,67.2,187,13.9,9.2
15-01-2016 19:00,15-01-2016 20:00,50.5,118.4,14.5,10.3
15-01-2016 20:00,15-01-2016 21:00,54.5,117.8,15.9,11.8
15-01-2016 21:00,15-01-2016 22:00,46.3,90.5,12.6,9.2
15-01-2016 22:00,15-01-2016 23:00,58,133.8,14.3,9.3
15-01-2016 23:00,16-01-2016 00:00,50.9,118.3,11.3,7.7
16-01-2016 00:00,16-01-2016 01:00,50.7,114.5,10.9,7.1
16-01-2016 01:00,16-01-2016 02:00,39,65.2,9.6,6
16-01-2016 02:00,16-01-2016 03:00,39.7,81,8.3,4.8
16-01-2016 03:00,16-01-2016 04:00,30,63.3,8.9,4.3
16-01-2016 04:00,16-01-2016 05:00,22.5,32.8,5.9,4.4
16-01-2016 05:00,16-01-2016 06:00,17.8,28.2,7.4,3.2
16-01-2016 06:00,16-01-2016 07:00,25,43.8,6.4,3
16-01-2016 07:00,16-01-2016 08:00,33.6,67.2,7.5,2.9
16-01-2016 08:00,16-01-2016 09:00,35.4,79.6,7.3,3.2
16-01-2016 09:00,16-01-2016 10:00,37.2,81.4,8.4,3.7
16-01-2016 10:00,16-01-2016 11:00,58.7,143.1,10.2,5.1
16-01-2016 11:00,16-01-2016 12:00,60.7,156.9,7.6,4.1
16-01-2016 12:00,16-01-2016 13:00,54,126.6,10.7,4.2
16-01-2016 13:00,16-01-2016 14:00,57.1,132.2,10,4.1
16-01-2016 14:00,16-01-2016 15:00,71.7,187,12.8,4.5
