Start,Slut,NO2 (344),NOX as NO2 (345),PM10 (342),PM2.5 (343)
02-01-2016 15:00,02-01-2016 16:00,57.6,136.3,79.4,11.5
02-01-2016 16:00,02-01-2016 17:00,53.6,118.1,105.2,9.5
02-01-2016 17:00,02-01-2016 18:00,51.9,110.2,121.4,13.9
02-01-2016 18:00,02-01-2016 19:00,52,104.8,96.1,11.8
02-01-2016 19:00,02-01-2016 20:00,42.3,82.1,101.7,12.9
02-01-2016 20:00,02-01-2016 21:00,40.8,74.4,73.4,8.5
02-01-2016 21:00,02-01-2016 22:00,48,90.4,123,12
02-01-2016 22:00,02-01-2016 23:00,34.1,61,68.4,10.9
02-01-2016 23:00,03-01-2016 00:00,16.3,28.2,8.9,6.5
03-01-2016 00:00,03-01-2016 01:00,6.3,9.6,6.1,4
03-01-2016 01:00,03-01-2016 02:00,5,7.7,6.2,5.3
03-01-2016 02:00,03-01-2016 03:00,4.3,7.1,4.9,4.3
03-01-2016 03:00,03-01-2016 04:00,5.2,8.1,5.7,3.5
03-01-2016 04:00,03-01-2016 05:00,4.9,6.8,8.6,3.2
03-01-2016 05:00,03-01-2016 06:00,10.3,15.9,8.5,4.7
03-01-2016 06:00,03-01-2016 07:00,12,17.4,11,4.1
03-01-2016 07:00,03-01-2016 08:00,15.1,26.2,13.3,3.8
03-01-2016 08:00,03-01-2016 09:00,35.2,71.7,43.1,4.8
03-01-2016 09:00,03-01-2016 10:00,39.8,79,74.2,6.6
03-01-2016 10:00,03-01-2016 11:00,47.1,112.6,110.4,10.4
03-01-2016 11:00,03-01-2016 12:00,49.9,120,105.8,9.4
03-01-2016 12:00,03-01-2016 13:00,47.4,116.7,110.6,10.7
03-01-2016 13:00,03-01-2016 14:00,59.1,149.5,113.1,12.5
03-01-2016 14:00,03-01-2016 15:00,61.5,151.3,112.1,10.6
03-01-2016 15:00,03-01-2016 16:00,47.2,110.9,67.2,8.2
03-01-2016 16:00,03-01-2016 17:00,55.1,134.5,63.6,7.8
03-01-2016 17:00,03-01-2016 18:00,54.9,129,52.3,7.4
03-01-2016 18:00,03-01-2016 19:00,48.1,120.4,44.8,6.1
03-01-2016 19:00,03-01-2016 20:00,42.7,101.8,37.4,6.9
03-01-2016 20:00,03-01-2016 21:00,43.5,99.2,42.7,7.6
03-01-2016 21:00,03-01-2016 22:00,34.8,75.5,45.6,5.6
03-01-2016 22:00,03-01-2016 23:00,27.9,52.9,40.5,5.8
03-01-2016 23:00,04-01-2016 00:00,18.4,31.5,37.8,5.1
04-01-2016 00:00,04-01-2016 01:00,18,33.1,63.9,6.3
04-01-2016 01:00,04-01-2016 02:00,14.2,25.4,46.8,5.9
04-01-2016 02:00,04-01-2016 03:00,13.2,22.8,51,4.3
04-01-2016 03:00,04-01-2016 04:00,17,31.2,41.8,4.8
04-01-2016 04:00,04-01-2016 05:00,19.5,42.8,45.2,6.2
04-01-2016 05:00,04-01-2016 06:00,37.4,115,112.7,13.4
04-01-2016 06:00,04-01-2016 07:00,61.5,273.1,131.6,9.2
04-01-2016 07:00,04-01-2016 08:00,60.1,257.4,80.9,6.5
04-01-2016 08:00,04-01-2016 09:00,56,222.4,58.4,5.8
04-01-2016 09:00,04-01-2016 10:00,56.2,241.3,58.7,6.5
04-01-2016 10:00,04-01-2016 11:00,55.4,233.1,59.4,4.5
04-01-2016 11:00,04-01-2016 12:00,56.1,266.3,40.1,3.2
04-01-2016 12:00,04-01-2016 13:00,62.1,285.5,21,2.6
04-01-2016 13:00,04-01-2016 14:00,64.7,303.8,13.1,2.6
04-01-2016 14:00,04-01-2016 15:00,65.6,328.9,11.7,2
04-01-2016 15:00,04-01-2016 16:00,56.9,172.3,8,2.5
04-01-2016 16:00,04-01-2016 17:00,35.9,68.6,3,-0.5
04-01-2016 17:00,04-01-2016 18:00,26.9,47.1,0.1,
04-01-2016 18:00,04-01-2016 19:00,25.8,42.2,0.5,
04-01-2016 19:00,04-01-2016 20:00,20.5,28.8,0.9,
04-01-2016 20:00,04-01-2016 21:00,53.1,116.9,7.8,-2.4
04-01-2016 21:00,04-01-2016 22:00,61.5,139.2,4,1.1
04-01-2016 22:00,04-01-2016 23:00,58.2,115.2,6.5,1.6
04-01-2016 23:00,05-01-2016 00:00,41.3,75.9,4.6,1
05-01-2016 00:00,05-01-2016 01:00,26.2,41.1,2.6,0
05-01-2016 01:00,05-01-2016 02:00,25.1,42.8,0.1,-1.7
05-01-2016 02:00,05-01-2016 03:00,17.6,30,1.9,-1.2
05-01-2016 03:00,05-01-2016 04:00,19,39.3,5.7,0.3
05-01-2016 04:00,05-01-2016 05:00,22.8,52.9,3.9,-0.8
05-01-2016 05:00,05-01-2016 06:00,36.9,114,8.7,1.8
05-01-2016 06:00,05-01-2016 07:00,61.7,271.5,40.8,4.7
05-01-2016 07:00,05-01-2016 08:00,58.3,230.1,12.4,5.2
05-01-2016 08:00,05-01-2016 09:00,49.3,186.6,12.4,4.2
05-01-2016 09:00,05-01-2016 10:00,41,137.3,9.8,1.5
05-01-2016 10:00,05-01-2016 11:00,23.5,61,5.1,1.3
05-01-2016 11:00,05-01-2016 12:00,27.8,80,5.3,-1.3
05-01-2016 12:00,05-01-2016 13:00,29.1,79,6,1.9
05-01-2016 13:00,05-01-2016 14:00,58.5,227.2,10.4,-0.2
05-01-2016 14:00,05-01-2016 15:00,59.4,221.1,9.8,1.9
05-01-2016 15:00,05-01-2016 16:00,54.7,166.9,7,0
05-01-2016 16:00,05-01-2016 17:00,65.5,190.9,8.2,1.7
05-01-2016 17:00,05-01-2016 18:00,76.8,254.1,9.5,4
05-01-2016 18:00,05-01-2016 19:00,68.4,219.4,10,5.9
05-01-2016 19:00,05-01-2016 20:00,58.1,139.1,10,2.6
05-01-2016 20:00,05-01-2016 21:00,51.9,121.1,9.4,4.9
05-01-2016 21:00,05-01-2016 22:00,59.5,147.9,10.4,4.3
05-01-2016 22:00,05-01-2016 23:00,52.2,130.9,12.5,6.2
05-01-2016 23:00,06-01-2016 00:00,44.3,104.8,10.4,7.3
06-01-2016 00:00,06-01-2016 01:00,35.7,74.5,9.7,4
06-01-2016 01:00,06-01-2016 02:00,31.6,59.7,9.3,3.3
06-01-2016 02:00,06-01-2016 03:00,25.7,44.8,7,4.8
06-01-2016 03:00,06-01-2016 04:00,24.4,48.1,6.3,2.2
06-01-2016 04:00,06-01-2016 05:00,23.8,53.3,9.6,3.1
06-01-2016 05:00,06-01-2016 06:00,28.7,69.8,8.7,3.2
06-01-2016 06:00,06-01-2016 07:00,44.1,133.2,12.1,4.8
06-01-2016 07:00,06-01-2016 08:00,46.7,151.3,11.7,4
06-01-2016 08:00,06-01-2016 09:00,46.5,163.6,9.8,3.3
06-01-2016 09:00,06-01-2016 10:00,46.5,156.1,9,3.7
06-01-2016 10:00,06-01-2016 11:00,52.3,220.4,10.8,3.3
06-01-2016 11:00,06-01-2016 12:00,54.2,249.1,11.8,2.9
06-01-2016 12:00,06-01-2016 13:00,50.2,199.9,9.9,4.5
06-01-2016 13:00,06-01-2016 14:00,44.8,151.4,7.6,3.7
06-01-2016 14:00,06-01-2016 15:00,49.6,176.2,9.5,4.3
06-01-2016 15:00,06-01-2016 16:00,59.3,189.1,10.9,7.4
06-01-2016 16:00,06-01-2016 17:00,60.4,212.7,13.8,7.7
06-01-2016 17:00,06-01-2016 18:00,59.1,208.5,13.6,7.7
06-01-2016 18:00,06-01-2016 19:00,59,235.3,14.4,9.1
06-01-2016 19:00,06-01-2016 20:00,56.7,188.6,13.6,8.2
06-01-2016 20:00,06-01-2016 21:00,57.3,209.7,14.9,9.4
06-01-2016 21:00,06-01-2016 22:00,46.9,125.4,12,9.6
06-01-2016 22:00,06-01-2016 23:00,42.3,107.8,13.3,9.4
06-01-2016 23:00,07-01-2016 00:00,36.8,76.3,11.6,7.2
07-01-2016 00:00,07-01-2016 01:00,37.7,63.2,9.7,6.6
07-01-2016 01:00,07-01-2016 02:00,30.2,50.2,9.1,5
07-01-2016 02:00,07-01-2016 03:00,32,60.1,8.8,6
07-01-2016 03:00,07-01-2016 04:00,30.5,66.6,8.3,4.9
07-01-2016 04:00,07-01-2016 05:00,33.2,90.3,9.7,5.1
07-01-2016 05:00,07-01-2016 06:00,28.1,82.7,8.2,5.7
07-01-2016 06:00,07-01-2016 07:00,58,477.2,18.3,8.3
07-01-2016 07:00,07-01-2016 08:00,69.1,827.6,23.3,10.5
07-01-2016 08:00,07-01-2016 09:00,62.6,764,23.4,13.1
07-01-2016 09:00,07-01-2016 10:00,61.9,868.2,29.7,11.4
07-01-2016 10:00,07-01-2016 11:00,61,926.8,30.7,13.1
07-01-2016 11:00,07-01-2016 12:00,39,209.9,8.6,5.8
07-01-2016 12:00,07-01-2016 13:00,37,148.3,9.3,4.4
07-01-2016 13:00,07-01-2016 14:00,53.1,510.1,24.8,13.1
07-01-2016 14:00,07-01-2016 15:00,56,536.5,24.6,10.7
07-01-2016 15:00,07-01-2016 16:00,54.6,312.5,17.5,7.4
07-01-2016 16:00,07-01-2016 17:00,50,206.4,14.5,8.1
07-01-2016 17:00,07-01-2016 18:00,49.3,172,13.8,6.4
07-01-2016 18:00,07-01-2016 19:00,40.3,99.7,9.4,5.8
07-01-2016 19:00,07-01-2016 20:00,24,35.2,8.5,4.3
07-01-2016 20:00,07-01-2016 21:00,36.7,79.5,11.5,4.8
07-01-2016 21:00,07-01-2016 22:00,39.2,95.2,12.1,4.5
07-01-2016 22:00,07-01-2016 23:00,33.4,74,9.7,3.7
07-01-2016 23:00,08-01-2016 00:00,33.2,75.7,8.4,3.5
08-01-2016 00:00,08-01-2016 01:00,24.8,56.7,8.6,3.1
08-01-2016 01:00,08-01-2016 02:00,31.4,63.3,7.9,5.3
08-01-2016 02:00,08-01-2016 03:00,24.4,50.3,9,5.3
08-01-2016 03:00,08-01-2016 04:00,30.3,68.3,7.6,5
08-01-2016 04:00,08-01-2016 05:00,32.6,86.9,8.3,3.3
08-01-2016 05:00,08-01-2016 06:00,43.1,138.2,12.5,4.9
08-01-2016 06:00,08-01-2016 07:00,56.4,227.4,17.1,9.6
08-01-2016 07:00,08-01-2016 08:00,50.6,182.6,15.7,8.7
08-01-2016 08:00,08-01-2016 09:00,44.1,138.1,11.8,5
08-01-2016 09:00,08-01-2016 10:00,29.2,72.1,10.2,4.5
08-01-2016 10:00,08-01-2016 11:00,36.5,96.2,9.9,6
08-01-2016 11:00,08-01-2016 12:00,30.8,82.2,9.8,5.8
08-01-2016 12:00,08-01-2016 13:00,24.9,58.6,7.5,5
08-01-2016 13:00,08-01-2016 14:00,37.9,110.2,11.3,7.3
08-01-2016 14:00,08-01-2016 15:00,44,148.4,12.7,7.2
08-01-2016 15:00,08-01-2016 16:00,43.2,135.2,9.4,4.8
08-01-2016 16:00,08-01-2016 17:00,42.9,144.5,9.1,3
08-01-2016 17:00,08-01-2016 18:00,49.7,123.3,10.5,6.9
08-01-2016 18:00,08-01-2016 19:00,31.9,64.6,9.5,4.4
08-01-2016 19:00,08-01-2016 20:00,32.3,60.7,16.6,5.6
08-01-2016 20:00,08-01-2016 21:00,30.6,48.7,14.4,8.8
08-01-2016 21:00,08-01-2016 22:00,45.3,103.8,20.4,9
08-01-2016 22:00,08-01-2016 23:00,39,77.3,14.3,7.9
08-01-2016 23:00,09-01-2016 00:00,33.8,60.6,10,6.2
09-01-2016 00:00,09-01-2016 01:00,23.8,39.3,7,5.6
09-01-2016 01:00,09-01-2016 02:00,23.9,43.5,8,4.3
09-01-2016 02:00,09-01-2016 03:00,19.7,32.9,8.8,6.4
09-01-2016 03:00,09-01-2016 04:00,12.2,19.3,5.9,2
09-01-2016 04:00,09-01-2016 05:00,8.8,15.1,8.6,3.5
09-01-2016 05:00,09-01-2016 06:00,22.9,45.5,21.3,6.4
09-01-2016 06:00,09-01-2016 07:00,33.5,76.1,21.3,5.3
09-01-2016 07:00,09-01-2016 08:00,38,79.5,18.9,3.8
09-01-2016 08:00,09-01-2016 09:00,44.3,99.2,15.1,6.4
09-01-2016 09:00,09-01-2016 10:00,39.3,98.4,15.6,5.9
09-01-2016 10:00,09-01-2016 11:00,48.8,138.9,15.7,7.1
09-01-2016 11:00,09-01-2016 12:00,53.8,171.8,19.4,6.9
09-01-2016 12:00,09-01-2016 13:00,63.9,231.7,21,6.4
09-01-2016 13:00,09-01-2016 14:00,65,243.8,18,8.1
09-01-2016 14:00,09-01-2016 15:00,67.2,239.8,18.3,8.7
09-01-2016 15:00,09-01-2016 16:00,69.2,246.8,17.3,8.8
09-01-2016 16:00,09-01-2016 17:00,64.8,251.2,18.4,8.5
09-01-2016 17:00,09-01-2016 18:00,53.9,152.5,13.9,7.9
09-01-2016 18:00,09-01-2016 19:00,53.9,159.2,17.4,8.7
09-01-2016 19:00,09-01-2016 20:00,49.7,151,15,8.7
09-01-2016 20:00,09-01-2016 21:00,43.5,117.1,14.6,9.2
09-01-2016 21:00,09-01-2016 22:00,45.1,117.3,13.3,11.1
09-01-2016 22:00,09-01-2016 23:00,50.7,126,14.3,8.4
09-01-2016 23:00,10-01-2016 00:00,41.5,89.6,14.5,9.1
10-01-2016 00:00,10-01-2016 01:00,41.9,93.4,16.9,6.3
10-01-2016 01:00,10-01-2016 02:00,21.2,36.1,10.5,3.8
10-01-2016 02:00,10-01-2016 03:00,12.2,15.8,6.3,3.8
10-01-2016 03:00,10-01-2016 04:00,8.5,10.8,4.7,1.9
10-01-2016 04:00,10-01-2016 05:00,5.8,7.3,6.5,2.3
10-01-2016 05:00,10-01-2016 06:00,5.5,8.1,5,3.5
10-01-2016 06:00,10-01-2016 07:00,4.8,6.7,5.1,2.8
10-01-2016 07:00,10-01-2016 08:00,6.1,9.2,6.4,3.9
10-01-2016 08:00,10-01-2016 09:00,6.1,8.8,8,4.9
10-01-2016 09:00,10-01-2016 10:00,8.3,14.6,10.2,6.4
10-01-2016 10:00,10-01-2016 11:00,17.4,32.5,10.7,6.3
10-01-2016 11:00,10-01-2016 12:00,16.5,31.6,17.1,6.9
10-01-2016 12:00,10-01-2016 13:00,22.1,49.8,31.2,7.4
10-01-2016 13:00,10-01-2016 14:00,33,74,45.9,11.3
10-01-2016 14:00,10-01-2016 15:00,43.7,95.5,52.1,10.7
10-01-2016 15:00,10-01-2016 16:00,33.5,78.8,41,6.7
10-01-2016 16:00,10-01-2016 17:00,36.6,93.1,38.7,10.5
10-01-2016 17:00,10-01-2016 18:00,39.2,90.2,45.1,11.3
10-01-2016 18:00,10-01-2016 19:00,33,73.3,36,13.4
10-01-2016 19:00,10-01-2016 20:00,27.2,62,34.8,15.2
10-01-2016 20:00,10-01-2016 21:00,17.3,36.1,26.6,12.9
10-01-2016 21:00,10-01-2016 22:00,11.7,24.2,20.2,9.8
10-01-2016 22:00,10-01-2016 23:00,9.2,20.1,14.8,8.9
10-01-2016 23:00,11-01-2016 00:00,8,12.9,11.6,9.9
11-01-2016 00:00,11-01-2016 01:00,8.8,14.8,13.1,9
11-01-2016 01:00,11-01-2016 02:00,9.1,15.5,16.5,11.8
11-01-2016 02:00,11-01-2016 03:00,9.9,14.4,19.9,14.9
11-01-2016 03:00,11-01-2016 04:00,8.5,13.4,19,14
11-01-2016 04:00,11-01-2016 05:00,8.6,13,12.2,10.3
11-01-2016 05:00,11-01-2016 06:00,16.5,40.2,22.9,5.3
11-01-2016 06:00,11-01-2016 07:00,31.9,127.3,38.4,2.6
11-01-2016 07:00,11-01-2016 08:00,30.9,86.1,7.2,1.3
11-01-2016 08:00,11-01-2016 09:00,32.8,58.4,7.6,0.5
11-01-2016 09:00,11-01-2016 10:00,46.2,185.4,28.2,6.4
11-01-2016 10:00,11-01-2016 11:00,43.8,269.6,35.2,5.8
11-01-2016 11:00,11-01-2016 12:00,37.1,234.8,34.3,6
11-01-2016 12:00,11-01-2016 13:00,39.9,233.9,34.7,5.8
11-01-2016 13:00,11-01-2016 14:00,41.5,271.6,35.5,6.8
11-01-2016 14:00,11-01-2016 15:00,58.6,236.6,45.3,16.1
11-01-2016 15:00,11-01-2016 16:00,65.1,251.9,38.3,15.5
11-01-2016 16:00,11-01-2016 17:00,60.6,321.2,23.2,10.3
11-01-2016 17:00,11-01-2016 18:00,63.1,344,18.9,1.2
11-01-2016 18:00,11-01-2016 19:00,54.9,211.8,22.5,5.6
11-01-2016 19:00,11-01-2016 20:00,48.7,138.5,24.3,8.6
11-01-2016 20:00,11-01-2016 21:00,46,108.3,21.9,8.3
11-01-2016 21:00,11-01-2016 22:00,42.5,81,20.4,7.6
11-01-2016 22:00,11-01-2016 23:00,34.5,142.4,16.6,10.1
11-01-2016 23:00,12-01-2016 00:00,30.3,110.3,6.7,4.6
12-01-2016 00:00,12-01-2016 01:00,30.4,82.7,4.5,1
12-01-2016 01:00,12-01-2016 02:00,13.8,16.2,3.8,-0.2
12-01-2016 02:00,12-01-2016 03:00,10.3,12.2,5.1,3.1
12-01-2016 03:00,12-01-2016 04:00,10.8,13.2,4.7,2.3
12-01-2016 04:00,12-01-2016 05:00,13.3,16,3.1,0.6
12-01-2016 05:00,12-01-2016 06:00,22.1,35,8.1,1.7
12-01-2016 06:00,12-01-2016 07:00,42.8,90.7,7.3,1.9
12-01-2016 07:00,12-01-2016 08:00,44.4,96.5,3.2,1.5
12-01-2016 08:00,12-01-2016 09:00,42,96.2,7.8,1.8
12-01-2016 09:00,12-01-2016 10:00,51.4,172.4,9.8,4.7
12-01-2016 10:00,12-01-2016 11:00,48,180.6,10.5,9
12-01-2016 11:00,12-01-2016 12:00,43.8,191.4,18.5,5.7
12-01-2016 12:00,12-01-2016 13:00,37.6,159.7,15.4,9.9
12-01-2016 13:00,12-01-2016 14:00,37.6,138,11.9,5.6
12-01-2016 14:00,12-01-2016 15:00,41.5,151.2,10.4,5.3
12-01-2016 15:00,12-01-2016 16:00,42.8,171.4,11.1,6.8
12-01-2016 16:00,12-01-2016 17:00,40.9,144,9.9,5.4
12-01-2016 17:00,12-01-2016 18:00,42.4,140.7,9.7,3.8
12-01-2016 18:00,12-01-2016 19:00,45.2,131,9.5,4.6
12-01-2016 19:00,12-01-2016 20:00,43.9,125.5,9.6,4.5
12-01-2016 20:00,12-01-2016 21:00,35.3,94.3,9.7,4.5
12-01-2016 21:00,12-01-2016 22:00,27.3,66.1,8.2,5.1
12-01-2016 22:00,12-01-2016 23:00,22.1,48.6,6.6,3.2
12-01-2016 23:00,13-01-2016 00:00,12.6,28.6,5.4,1.2
13-01-2016 00:00,13-01-2016 01:00,11.4,22.3,4.2,2
13-01-2016 01:00,13-01-2016 02:00,10.4,18.8,4.7,2.1
13-01-2016 02:00,13-01-2016 03:00,9.7,24,5.5,2.5
13-01-2016 03:00,13-01-2016 04:00,8.8,19.4,4.5,-0.1
13-01-2016 04:00,13-01-2016 05:00,10.2,22.1,6,-0.2
13-01-2016 05:00,13-01-2016 06:00,17.1,44.5,9.1,1.4
13-01-2016 06:00,13-01-2016 07:00,34.4,119.6,8.3,1.3
13-01-2016 07:00,13-01-2016 08:00,37.8,140.3,6.7,2.3
13-01-2016 08:00,13-01-2016 09:00,42.5,168.8,8.7,4.2
13-01-2016 09:00,13-01-2016 10:00,42.2,158.2,9.8,4.6
13-01-2016 10:00,13-01-2016 11:00,36.6,111.9,7.9,1.7
13-01-2016 11:00,13-01-2016 12:00,42.7,141.9,9.4,3.1
13-01-2016 12:00,13-01-2016 13:00,36.7,104.4,6.4,2.2
13-01-2016 13:00,13-01-2016 14:00,32.7,92.9,7.6,4.4
13-01-2016 14:00,13-01-2016 15:00,34.5,111.6,12.2,4.2
13-01-2016 15:00,13-01-2016 16:00,44.3,138,10.6,4.7
13-01-2016 16:00,13-01-2016 17:00,34.5,124.5,8.2,4.5
13-01-2016 17:00,13-01-2016 18:00,34.5,95.1,7.9,1
13-01-2016 18:00,13-01-2016 19:00,28,72.1,6.7,3.9
13-01-2016 19:00,13-01-2016 20:00,23.7,55.2,6.8,3.2
13-01-2016 20:00,13-01-2016 21:00,19.3,44.9,5.9,2.1
13-01-2016 21:00,13-01-2016 22:00,18.6,41.4,7.4,3.1
13-01-2016 22:00,13-01-2016 23:00,16,33.6,6.1,3.1
13-01-2016 23:00,14-01-2016 00:00,12.3,25.1,6.3,2.9
14-01-2016 00:00,14-01-2016 01:00,11.2,22.9,3.6,2.5
14-01-2016 01:00,14-01-2016 02:00,9.7,18,5,1.6
14-01-2016 02:00,14-01-2016 03:00,9.1,18.8,3.3,2.8
14-01-2016 03:00,14-01-2016 04:00,13.1,32.2,6.1,2.6
14-01-2016 04:00,14-01-2016 05:00,13.9,33.6,6.1,3.1
14-01-2016 05:00,14-01-2016 06:00,31,92.8,9.3,4.7
14-01-2016 06:00,14-01-2016 07:00,49.1,228,10.9,4
14-01-2016 07:00,14-01-2016 08:00,47.9,261.9,9.6,6.1
14-01-2016 08:00,14-01-2016 09:00,48.2,290.8,10.5,5.8
14-01-2016 09:00,14-01-2016 10:00,52.6,310,12.6,6.8
14-01-2016 10:00,14-01-2016 11:00,56.5,266.1,12.8,5.7
14-01-2016 11:00,14-01-2016 12:00,55.1,266,12.2,7
14-01-2016 12:00,14-01-2016 13:00,53.7,229.6,12.5,6.6
14-01-2016 13:00,14-01-2016 14:00,55,238.2,12.6,6.9
14-01-2016 14:00,14-01-2016 15:00,55.5,275,14.1,6.8
14-01-2016 15:00,14-01-2016 16:00,58.4,282.5,14.6,8.7
14-01-2016 16:00,14-01-2016 17:00,55.6,284.8,12.6,7.3
14-01-2016 17:00,14-01-2016 18:00,53,266.6,11.3,6.3
14-01-2016 18:00,14-01-2016 19:00,59.5,253.6,14.5,5.9
14-01-2016 19:00,14-01-2016 20:00,57.9,181.9,14.2,7.9
14-01-2016 20:00,14-01-2016 21:00,57.7,177.9,11.8,8.2
14-01-2016 21:00,14-01-2016 22:00,53.3,133.8,13.1,10.6
14-01-2016 22:00,14-01-2016 23:00,41.9,94.4,10.1,5.6
14-01-2016 23:00,15-01-2016 00:00,37.1,74.1,7.6,4
15-01-2016 00:00,15-01-2016 01:00,28.4,54,6.2,-1
15-01-2016 01:00,15-01-2016 02:00,22.2,45.1,5.9,3.3
15-01-2016 02:00,15-01-2016 03:00,20.9,42.4,5.8,3.6
15-01-2016 03:00,15-01-2016 04:00,26.1,57.7,6.2,4.6
15-01-2016 04:00,15-01-2016 05:00,30.8,79.7,13.3,11.4
15-01-2016 05:00,15-01-2016 06:00,40.6,138.9,17.5,7.8
15-01-2016 06:00,15-01-2016 07:00,59.5,337.5,12.8,7.3
15-01-2016 07:00,15-01-2016 08:00,63.9,388.4,15.3,9.6
15-01-2016 08:00,15-01-2016 09:00,64.2,475.5,18.3,8.8
15-01-2016 09:00,15-01-2016 10:00,57.8,406.5,14.6,10
15-01-2016 10:00,15-01-2016 11:00,58.1,383.3,14.3,7.7
15-01-2016 11:00,15-01-2016 12:00,56.2,275.6,13.8,7.5
15-01-2016 12:00,15-01-2016 13:00,58.5,296.4,13.1,8.1
15-01-2016 13:00,15-01-2016 14:00,59.6,264.7,12.9,7.3
15-01-2016 14:00,15-01-2016 15:00,54,251,12.7,8.7
15-01-2016 15:00,15-01-2016 16:00,46.3,276.8,13.5,8.9
15-01-2016 16:00,15-01-2016 17:00,45.8,267.1,13.8,7.9
15-01-2016 17:00,15-01-2016 18:00,51.7,232.6,13.7,8.5
15-01-2016 18:00,15-01-2016 19:00,56.9,240.2,19.1,13.4
15-01-2016 19:00,15-01-2016 20:00,53.9,194.4,18.7,14.3
15-01-2016 20:00,15-01-2016 21:00,52.4,171.4,17.8,13.4
15-01-2016 21:00,15-01-2016 22:00,53.1,141.7,15.8,11.1
15-01-2016 22:00,15-01-2016 23:00,43.8,103.8,13.9,9
15-01-2016 23:00,16-01-2016 00:00,36.7,78.4,9.9,6
16-01-2016 00:00,16-01-2016 01:00,31.7,61.1,8.8,6.4
16-01-2016 01:00,16-01-2016 02:00,24.7,39.7,6,3.4
16-01-2016 02:00,16-01-2016 03:00,23.5,38.5,7.8,5.5
16-01-2016 03:00,16-01-2016 04:00,20.5,35.4,7.3,2.8
16-01-2016 04:00,16-01-2016 05:00,16.4,30,5.1,2.5
16-01-2016 05:00,16-01-2016 06:00,20.8,42.9,3.2,2
16-01-2016 06:00,16-01-2016 07:00,28.5,62,7.8,2.9
16-01-2016 07:00,16-01-2016 08:00,40.1,101.5,6.5,3.4
16-01-2016 08:00,16-01-2016 09:00,41.7,93.4,8.6,3.1
16-01-2016 09:00,16-01-2016 10:00,,,,
16-01-2016 10:00,16-01-2016 11:00,72.1,164.1,11.4,5.7
16-01-2016 11:00,16-01-2016 12:00,67.8,154.2,5.8,3.1
16-01-2016 12:00,16-01-2016 13:00,67.2,143.7,6.5,3.3
16-01-2016 13:00,16-01-2016 14:00,72.1,160,9.3,3.8
